term,definition,parent,plural
Abaxial,"The side or surface facing away from the axis, usually the lower surface.",Position,
Abscission,"The normal shedding of an organ that is mature or aged, e.g. an old leaf, a ripe fruit.",Petiole_(simple_lf),
Acaulescent,"Stemless, or with no visible stem",Habit,
Accrescent calyx,"Enlarging after maturity, as the stem or the calyx of some plants after flowering.",Fruit_details,
Achene,"A dry, indehiscent, single-seeded fruit, e.g. Asteraceae, Rosaceae; in a strict sense developed from a superior ovary of one carpel",Dehiscent,
Acicular,"Needlelike, round or grooved in cross section.",Shapes__3d,
Acidic,-,Taste,
Acrodromous,"With two or more primary or strongly developed secondary veins diverging at or above the base of the blade and running in convergent arches toward the apex over some or all of the blade length, the arches not basally curved.",Leaf_venation_(hickey),
Actinodromous,"With three or more primary veins diverging radially from a single point at or above the base of the blade and running toward the margin, reaching it or not.",Leaf_venation_(hickey),
Actinomorphic,"Of flowers, radially symmetrical; symmetrical about more than one plane passing through the axis of the flower, like a star.",Symmetry,
Aculeate,Prickly.,Spines__prickles_etc,
Acuminate,"Apex of leaf tapering very gradually at tip; long acuminate implies this apical section is particularly prolonged, as in drip tip.",Apex_of_leaf_blade,
Acute,"Apex of leaf pointed, with more or less straight sides.",Apex_of_leaf_blade,
Adaxial,"The side or surface facing towards the axis, normally the upper surface.",Position,
Adventitious,"(Shoot or root) arising on stem, bole or boughs.",Tree_bole,
Aerial roots,-,Bole,
Aestivation,"The arrangement of floral parts in the bud, e.g. IMBRICATE.",Tepal,
Alternate leaf,-,Leaf_arrangement,
Amplexicaul,"Of a leaf base, clasping the stem.",Leaf_base,
Anastomosing,"Forming a network; usually applied to the veins in a leaf, or to fissures and ridges in bark.",Venation,
Androecium,-,Flower_part,
Androecium (male parts),-,Flower_part,
Androgynophore,"A stalk above the level of the insertion of the perianth, bearing both the androecium and the gynoecium.",Flower_part,
Androphore,A stalk supporting a group of stamens.,Androecium,
Angiosperm,"A seed-bearing plant with ovules, and hence seeds, developing within an ovary.",Plant_groups,Angiospermae
Angles,-,General_terms,
Annual,A plant that completes its life cycle within a year.,Habit,Annuals
Anther,Section of the male part of the flower (Stamen) which contains pollen.,Stamen,Anthers
Apetalous,Without petals.,Corolla,
Apex of leaf blade,"End part, or tip, furthest away from main axis of plant",Outline_of_leaf_blade,Leaf Apices
Apical bud,-,Bud,Apical buds
Apiculate,"With an ?apiculum? or short point: i.e. leaves, petals etc. ending abruptly in a short, flexible point. Not as stiff or sharp as mu",Apex_of_leaf_blade,
Appendage,-,Attachment,Appendages
Appendage  Appendix,-,Attachment,
Appressed,-,Hairs,
Arachnoid,Cobwebby.,Hairs,
Areola  Areole,-,Venation,
Areole,-,Venation,Areolae
Aril,Thin fleshy covering of whole or part of seed inside the fruit (inside pericarp); usually brightly coloured.,Fruit_details,Arils
Aristate,"Like apiculate, but strictly, the point finer and longer (strictly with length more than 3 times width), and straight and stiff. Th",Apex_of_leaf_blade,
Arms,-,Plant_parts,Arms
Articulate,"(Petiole) swollen or deformed at a point, with a bendable joint (like an elbow, which makes an arm articulate).",Petiole_(simple_lf),
Ascending,"Of  lateral nerves, arching upwards, towards the apex.",Venation,
Asperous,"Scabrid, i.e. with a rough surface.",Hairs,
Astringent,"Bitter or strange acidic taste which leaves mouth peculiarly dry, like skin of some unripe fruits.",Taste,
Asymmetric,Not symmetrical in any sense (neither actinomorphic nor zygomorphic).,Leaf_blade_shape,
Attachment,-,General_terms,Attachments
Auriculate,"With ear-like lobe, usually at base of leaf or leaflet; very deeply cordate.",Leaf_base,
Awn,"A bristle-like appendage, as on the apical part of some stipules.",Fruit_details,Awns
Axil,The corner where a structure meets the axis from which it branches (e.g. the armpit is in the axil of a human arm); the nerve axil,Position,Axils
Axile,On the central axis of the ovary.,Placenta,
Axillary,In an axil. e.g. axillary bud as distinct from apical bud.,Position,
Axis,"Main stem or channel from which branches or other parts arise (e.g. twig, bough).",General_terms,Axes
Baccate,Juicy and very succulent.,Indehiscent,
Bacterial nodule,-,Leaf_blade_glands_etc,Bacterial nodules
Barbed,"With short, rigid reflexed bristles or processes.",Hairs,
Barbellate,Minutely barbed.,Hairs,
Bark,Outer covering of woody plants that includes all living and dead tissues external to the cambium; i.e. a partially dead covering of,Woody_stem,
Bark Exudate,-,Slash,Bark exudates
Bark Texture,-,Bark,Bark Textures
"Bark, outer",-,Bark,
Basal,Arising at base; e.g. basal nerve is a nerve arising at (or very close to) the base of lamina,Position,
Bearded,"With long hairs in a tuft, or fringe. When the hairs are in a conspicuous single file or narrow line, then ciliate is used.",Hairs,
Berry,"Fleshy fruit with (1-) several seeds immersed in soft flesh, but seeds without a stony outer layer, e.g. tomato (see Drupe).",Indehiscent,Berries
Bicrenate,With smaller rounded teeth on larger rounded teeth.,Serrated,
Bidentate,(Petal or stipule) With two tooth like lobes,Serrated,
Biennial,"Plant that completes its life cycle in two years, often flowering and fruiting in the second year.",Habit,
Bilocular,"An ovary, or fruit, having two locules (or cavities).",Ovary,
Bipartite,Divided nearly to the base into two parts.,General_part_terms,
Bipinnate,"Leaves with two orders of branching, the first branches being pinnate, usually with small leaflets",Bi-tripinnate,
"Bipinnate , tripinnate or mixed order",-,Compound_leaf_types,
"Bipinnate, tripinnate or mixed order",-,Compound_leaf_types,
Biserrate,With sharply cut teeth on the margins of larger sharply cut teeth.,Serrated,
Bisexual,Flowers with both male (stamens) and female (carpels) parts.,Gender,
Biternate,"Twice ternate, the three pinnae each divided into three pinnules.",Bi-tripinnate,
Bitter,-,Taste,
Blade,"The flat, usually green and photosynthetic part of a leaf (= lamina).",Leaf_parts,
Bole,Part of tree between the lowest boughs of the crown and the highest part of the buttress.,Tree_(any_size),Boles
Bough,Main massive branches of a crown of a large tree.,Tree_(any_size),Boughs
Bract,(Usually a small) leaf-like or stipule-like structure at nodes of inflorescence (see bracteole).,Inflorescence_part,Bracts
Bracteole,"Small type of bract on an inflorescence, but smaller than any normal bracts on the same inflorescence and nearer to the individual",Inflorescence_part,Bracteoles
Branching pattern,-,Foliage,
Branchlet,"A small branch or stem; if thin and (becoming) woody, then = twig.",Stem,Branchlets
Bristly,"Covered with stiff, strong hairs.",Hairs,
Brochidodromous,"With a single primary vein, the secondary veins not terminating at the margin but joined together in a series of prominent upward arches or marginal loops on each side of the primary vein.",Leaf_venation_(hickey),
Brown exudate (in slash),-,Slash_exudate,
Bud,"An immature shoot sometimes covered with tough scales or stipules, or an undeveloped flower, often protected by the calyx or bracts",Vegetative,
Bud-Scales,"Tough scales generally 0.5mm to a few cm long, enclosing a bud before it expands. Bud scales may be specialised stipules, undevelop",Bud,Bud Scales
Bulb,"A swollen, usually underground organ involving a compacted stem and enveloped in succulent or scale-like leaves or leaf bases which",Underground_bulbs_etc,Bulbs
Bulb-like,-,Underground_bulbs_etc,
Bulbil,"A small bulb or bulb-like structure arising above ground, from leaf axils, in effect an axillary bud that falls off and assists in",Bulb,Bulbils
Bulbs Etc,-,Vegetative,
Bullate,Surface (of leaf) raised in a series of domes between the veins on the upper surface and therefore also with marked depressions aro,Vein_prominence,
Buttress,Outgrowths from base of tree extending from lateral surface roots to trunk.,Bole,Buttresses
Caducous,"(Stipule) falling soon, early deciduous. Caducous stipules are typically visible only on the apical bud.",Attachment,
Calyx,"Collective term for the sepals, particularly when they are united to form a tube.",Perianth,Calyces
Campanulate,Bell-shaped.,Shape__3d,
Campylodromous,"With several primary veins or their branches diverging at or close to a single point and running in strongly developed, basally recurved arches which converge toward the apex, reaching it or not.",Leaf_venation_(hickey),
Canaliculate,With a longitudinal groove or channel.,Shape__3d,
Canescent,"Covered with dense, fine greyish-white hairs like frost",Hairs,
Capitate,"Head-like; of an inflorescence with unstalked flowers aggregated into a dense cluster; of a stigma or a gland, globose like the hea",Inflorescence_type,
Capitulum,"An inflorescence with a dense cluster of sessile flowers borne on a flattened or domed receptacle, e.g. Asteraceae.",Inflorescence_type,Capitula
Capsule,"Type of dehiscent fruit which splits open along several lines or pores to release seeds, derived from two or more united carpels.",Dehiscent,
Carpel,"Female part, around centre of flowers, including stigma, style and ovary developing into a fruit. In some species, several separate",Gynoecium,
Cartilaginous,Hard and tough but flexible.,Texture,
Catkin,A spike of more or less reduced flowers (often unisexual and without perianth); in the strict sense hanging and flexible.,Inflorescence_type,Catkins
Caudate,Having a long tail-like tip or appendage.,Apex_of_leaf_blade,
Cauliflorous,-,Flower/fruit_position,
Cauliflory,-,Flower/fruit_position,
Ceraceous,Waxy.,Surface_details,
Chaffy,Like chaff (the residues when harvested grain is cleaned); small irregular flakes.,Hairs,
Channelled,"(Nerve etc.) sunk below surface, leaving a rounded channel.",Vein_prominence,
Chartaceous,Having a papery consistency.,Texture,
Ciliate,"With a fringe of hairs forming a line, especially along the margin  e.g. of a leaf or petal. Like eyelashes, rather than bearded.",Hairs,
Circinate,Spirally coiled like the developing leaves of ferns,Branchlet,
Cirrhose,"Tendrilled, ending in a slender appendage that is wavy or spirally rolled up.",General_shape,
Cirrhous,"Coiled extension, e.g. of leaf; More than 10:1 l/w, coiled and flexuous.",General_shape,
Cladodromous,"With a single primary vein, the secondary veins not terminating at the margin and freely ramified toward it.",Leaf_venation_(hickey),
Clasping,Partly surrounding the stem.,Attachment,
Clavate,"Club-shaped, slender at base and distally gradually thickened.",Leaf_blade_shape,
Claw,"The narrow, stalk-like proximal part of a petal, sepal or bract.",Shapes__3d,
Cleft,Indentations or incisions cut 1/4-1/2 distance to midrib or midvein.,Leaf_blade_shape,
Climber,-,Habit,
Climber (herbaceous),-,Climber,
Climbers (all types),-,Habit,
Climbing device,-,Climber,
Clustered leaf,-,Leaf_arrangement,
Cochlear,"Of the arrangement of petals in a bud, a variant of imbricate where one petal, being larger than the others, and hollowed like a helmet, covers all the others.",Shapes__3d,
Cochleate,Snail-shaped.,Shapes__3d,
Colleters,"Small linear structures like robust, flat hairs, believed to glandular or associated with protecting the apical bud.",Hairs,
Comose,"With a tuft of hairs, usually apical.",Hairs,
Complanate,Flattened,Shape__3d,
Compound Leaf,-,Leaf_types,
Compound leaf  types,-,Compound_leaf,
Compound leaf types,"Leaves with more than one axis ? several midribs; with 2 or more leaflets. Inflorescences, when a similar pattern of branching is repeated in distinct subunits",Compound_leaf,
Compressed,"Flattened; e.g. a mango, as the cross-section is elliptic not round.",Shape__3d,
Connate,"Generally, with parts fused, as with sepals in calyx tube; or bases of opposite leaves etc. fused around the stem.",Attachment,
Connivent,"Converging or coming into contact, but not actually fused or united.",Attachment,
Contiguous,Touching at the edges with no gap between.,Attachment,
Contorted,"Spirally twisted; of floral parts in a bud, a form of imbricate arrangement in which each segment with one edge overlapping the adj",Aestivation,
Contoured,"Pattern of curved parallel lines, especially layers of bark when cut, visible in the slash. See ripple marks,",Bark,
Coppice,Shoots arising from old wood when large woody plant is cut near ground,Bole,
Cordate,Leaf base which curves round towards petiole ? like the non-pointed end of a heart shape.,Leaf_base,
Cordiform,Shaped like a cartoon heart,Shapes__3d,
Coriaceous,"Tough, like leather or firm card.",Texture,
Cork,"Soft waterproof material (used in wine bottle tops) on the outside layer of some axes; often pale brown or white rather than green,",Bark,
Corm,"A short, solid, swollen, usually underground stem or stem base.",Underground_bulbs_etc,
Corolla,"Petals as a whole, especially when they are united to form a tube.",Perianth,Corollas
Corona,"A ring of tissue arising from the corolla, perianth or filaments of a flower.",Flower_part,
Corymb,"A racemose inflorescence in which the lower flowers have longer pedicels than those of the flowers above, producing a flat-topped o",Inflorescence_type,Corymbs
Cotyledon,-,Seed,
Craspedodromous  Mi,-,Leaf_venation_(hickey),
Craspedodromous  Si,-,Leaf_venation_(hickey),
Creeper,-,Root_climbers_/creepers,
Crenate,"Round-toothed, or teeth obtuse (strictly, rounded teeth cut less than 1/8 way to midrib).",Serrated_etc_(not_entire),
Crenulate,"Diminutive of crenate (strictly, rounded teeth cut only to 1/16 of distance to midrib).",Serrated,
Crispate,"Curly, wavy or crinkled. e.g. lettuce leaves are often crispate.",Serrated,
Crown,System of branches at top of tree supporting leaves.,Tree_(any_size),
Crustaceous,"Hard, thin, and brittle.",Texture,
Cuneate,Leaf base wedge-shaped; becoming gradually thinner at base towards petiole.,Leaf_base,
Cuspidate,"Abruptly tapering into a sharp, rigid acute point.",Apex_of_leaf_blade,
Cyme,"Branched inflorescence without a single main axis, but where each flower ends an axis and subsequent flowers develop from branches",Inflorescence_type,Cymes
Cystolith,"A crystalline outgrowth from the cell wall, encrusted with calcium carbonate (see also raphide). In practice, looking with a good l",Surface_details,Cystoliths
Cystoliths,-,Surface_details,
Deciduous,"All leaves of plant falling in one season, mostly applying to certain tree species. (The term is less often used used for parts tha",Tree_crown,
Decurrent,"Literally, ?running down or along?: a decurrent leaf base has the base of the lamina v. narrowly wedge-shaped, running along edge o",Leaf_base,
Decussate,"Of opposite leaves, when the successive pairs are at right angles to each other.",Leaf_arrangement,
Dehiscent,(Dry fruits) splitting when ripe to release seeds (see indehiscent; capsule).,Fruit_type,
Dendroid,"Tree-shaped, resembling a tree in form but not in size, e.g. dendroid hairs.",Hairs,
Dentate,"With teeth, but strictly the teeth should be equal sided and pointing directly outwards (see serrate).",Serrated,Teeth
Denticulate,"Minutely dentate, with small triangular teeth (cut to 1/16 distance to midrib or midvein).",Serrated,
Descending,Arching gradually downwards.,Angles,
Dichasium,A cyme with two branches from each node.,Inflorescence_type,Dichasia
Dichotomous,"Branching by forking into two equal branches, as if splitting into half.",Branching_pattern,
Dicotyledon,A broad category of plant: those with two seedling Ivs; (all plants in this book apart from the monocots  and ferns).,Plant_types,
Digitate,"Compound leaf with more than three leaflets, all arising from one point at end of petiole (compare palmate).",Compound_leaf_types,
Digitately Lobed,(Simple leaf) with lobes diverging like fingers on a hand,Lobe,
Dilatation tissue,Tissue in bark marked by broad vertical bands associated with outgrowth of bark.,Bark,
Dioecious,Species with male  and female flowers on different plants; i.e. with ? and ? plants.,Gender,
Disc,"A fleshy, usually nectar-secreting ring between whorls of floral parts or on the ovary.",Flower_part,Discs
Disc  Disk,-,Flower_part,
Disc Floret,-,Floret,Disc florets
Disc Floret  Disc flowers,-,Floret,
Discoid,Orbicular with convex faces.,Shape__3d,
Discolorous,Differently coloured (especially lower) side of leaf (compared to upper side).,Leaf_blade_colour,
Dissected,"Leaves, stipules, petals etc. finely divided into narrow segments. Laciniate is an extreme case of fine dissection.",Serrated,
Distichous,"Two-ranked; regularly arranged one above the other in two opposite rows, one on each side of the stem.",Leaf_arrangement,
Divergent,"Of two or more like structures, spreading so that the apices are further apart then their bases.",Angles,
Divided,-,Serrated,
Domatia,"Tufts of hairs, small holes or other structures in axils of lateral nerves or finer veins.",Hairs,Domatias
Doubly Dentate,Dentate with small teeth on the larger teeth; (also doubly serrate).,Serrated,
Doubly Serrate,Serrated with small teeth on the large ones.,Serrated,
Downy,"Covered with short, weak, soft trichomes, feeling like duck ?down?, or fine insulating feathers.",Hairs,
Drip Tip,"(With) tip of leaf abuptly long acuminate, the drip tip tip section itself typically 5mm.",Apex_of_leaf_blade,
Drip-Tipped,-,Apex_of_leaf_blade,
Drupaceous,"Plum-like, like a drupe, but technically not one, e.g. with stone(s) each containing more than 1 seed.",Indehiscent,
Drupe,"Fruit with a fleshy part surrounding hard, central, 1-seeded 'stone(s)' (e.g. mango, plum). Normally 1-stoned (but sometimes a few)",Indehiscent,Drupes
Drupe-like,"Plum-like, like a drupe, but technically not one, e.g. with stone(s) each containing more than 1 seed.",Indehiscent,
Echinate,Covered with spines.,Surface_texture,
Ecology,-,Species_level_terms,
Elaiosome,An minute oil-rich object on seeds or leaves serving as food for ants,Glands_(large_types),Elaiosomes
Elfin forest,-,Vegetation,Elfin forests
Ellipsoid,A solid object roughly with an elliptic outline from the side view and circular outline from the end view (like some grapes).,Shapes__3d,
Elliptic,"Broadest around middle with smoothly curving edges: strictly, 1.2-3 times as long as wide. Ones with broader ratios than this are ?",Leaf_blade_shape,
Emarginate,"Tip of leaf with a slight notch, but otherwise usually rather obtuse.",Apex_of_leaf_blade,
Endocarp,"Inner layer of wall of fruit (pericarp); in a drupe, the stony layer.",Fruit_details,
Endosperm,The nutritive tissue surrounding the embryo of some types of seed.,Seed,
Entire,"(Margin) smooth; evenly curved or straight, without teeth or undulations.",Leaf_blade_margin,
Epicalyx,"A whorl of bracts just below a flower, calyx-like but outside and additional to the calyx.",Perianth,Epicalyces
Epidermal,Associated with the epidermis.,Surface_details,
Epidermis,"The outermost layerof cells  (?skin?)  of an organ, usually one cell thick.",Surface_details,
Epigynous,"Of a flower, when the sepals, petals and stamens apparently all arise above the ovary.",Flower_part_arrangement,
Epiphyte,-,Root_climbers_/creepers,
Erect,"Upright, directed perpendicular to the surface.",Habit,
Erose,"Irregularly, shallowly toothed and/or lobed margins; appearing gnawed.",Serrated,
Eucamptodromous,"With a single primary vein, the secondary veins curved upward and gradually diminishing distally within the margin and interconnected by a series of cross-veins without forming conspicuous marginal loops.",Leaf_venation_(hickey),
Evergreen,"Plant which always bears foliage; i.e. never deciduous. Leaves fall off individually, not all in one season.",Tree_crown,
Exfoliating,"Of bark, being shed in thin, often papery scales or sheets.",Bark,
Exocarp,"The outermost layer of the fruit wall, usually a skin-like layer.",Fruit_details,
Exserted stamen,"Protruding stamens, longer than corolla tube",Stamen,Exserted stamens
Exstipulate,Without stipules.,Node,
Extrafloral,"Of nectaries, which are situated outside the flowers, e.g. on the leaves or stipules.",Glands_(large_types),
Exudate,Any liquid or gelatinous or resinous substance flowing from a plant (e.g. from bark slash  or glands).,Plant_parts,
Exudate coloured watery,-,Slash_exudate,
Exudate thick translucent colourless,-,Slash_exudate,
Falcate,-,Leaf_blade_shape,
Farinose,-,Surface_details,
Farinose  farinaceous,-,Surface_details,
