term,definition,parent,plural
Perianth segment,"The lobes of a perianth, especially when sepals and petals cannot be distinguished.",Perianth,Perianth segments
Pericarp,"The fruit wall, developed from the ovary wall, often merely-skin like; see mesocarp.",Fruit_details,
Perigynous,"A flower where the base of the perianth and stamens are carried up around, or raised above the base of the ovary, but are not attac",Flower_part_arrangement,
Perpendicular,"Directed straight downwards, or at right angle with some other body: e.g. the top line of a T is perndedicular to the vertical line",Position,
Persistent,"Remaining attached, not falling off, even though the original function of the organ has ceased, e.g. of petals not falling after fl",Attachment,
Petal,"One of members of inner ring of the perianth, especially if brightly coloured; see corolla.",Corolla,
Petaloid,"Petal-like; used for brightly coloured sepals, bracts or leaves, when these are arranged around the flower.",Perianth,
Petiolate,"With a petiole, not sessile.",Leaf_parts,
Petiole,The stalk by which the midrib or rachis of a leaf is attached to the stem.,Leaf_parts,
Petiole length (non pinnate leaves),-,Petiole_(simple_lf),
Petiole length (pinnate leaves),-,Petiole_(simple_lf),
Petiole of compound leaf,-,Parts_of_compound_lvs,
Petiole_gland_(cpd leaf),-,Gland_(petiole_or_rachis),Petiole_glands_(cpd leaf)
Petiolule,The stalk by which the midrib of a leaflet is attached to the axis of a compound leaf.,Parts_of_compound_lvs,
Phloem,Tissue which conducts sugars and other nutrients; in tree trunks this is found in the cylinder of bark around the wood.,Woody_stem,
Pilose,"Hairy, covered with long, weak, soft, 'shaggy' hairs.",Hairs,
Pinnate leaf,-,Compound_leaf_types,
Pinnately lobed,Of a leaf cut deeply into lobes that diverge from the midrib rather than a single points.,Lobe,
Pinnatifid,"Of a leaf cut deeply into lobes, but not close to the midrib.",Lobe,
Pinnatisect,"Pinnately cut to the midrib but with the base of the resulting segments just meeting up along it, not quite separate.",Lobe,
Pioneer,(Forest) Plant of which seedlings are found only under canopy gaps; i.e. the first plants to appear when a forest is disturbed; the,Guilds,
Pistil,"The female organ of a flower, formed by a single carpel or a group of fused carpels.",Gynoecium,
Pith,Very soft and airy tissue at the centre of stems or roots.,Stem,
Placenta,"The part within an ovary, to which the ovules are attached.",Fruit_details,
Plant Groups,-,Taxonomy,
Plant Parts,-,Taxonomy,
Plant Types,-,Plant_groups,
Pneumatophore,Root attachment arising above water/soil surface in swamps.,Bole,
Pod,-,Fruit_type,
Pollen,The powdery mass of male spores (powdery cells or bundles of cells) shed from the anthers of seed plants.,Anther,
Pollination,-,Flower,
Polymorphic,With more than two distinct morphological variants.,Taxonomy,
Polyploid,Having three or more basic chromosome sets.,Genetics,
Population terms,-,Ecology,
Position,-,General_terms,
Prickle,-,Spines__prickles_etc,
Prickle   prickly,-,Spines__prickles_etc,
Prickly,-,Spines__prickles_etc,
Process,Small structure arising from end of another; outgrowth.,General_shape,
Procumbent,Trailing or spreading along the ground.,Habit,
Prominent,"Raised above surrounding surface; (nerves, etc.) easily felt when stroked with finger.",Vein_prominence,
Prop Root,-,Bole,
Prostrate,Lying flat on the ground.,Habit,
Pseudostipule,"Lower leaflets on PINNATE leaf which, surrounding twig, resemble stipules.",Node,Pseudostipules
Pteridophytes,"Ferns and fern allies, i.e. Lycopsida, Sphenopsida and Filicopsida.",Plant_groups,
Puberulent,-,Hairs,
Pubescent,"Hairy, but neither densely, nor roughly so.",Hairs,
Pulvinate,Petiole which has a pulvinus (or two of them).,Petiole_(simple_lf),
Pulvinus,"A swelling at the base of the petiole, often glandular, jointed (like a knee) or even responsive to touch.",Petiole_(simple_lf),
Punctate,"Spotted with glands (or small, undefined, flat, translucent dots).",Gland_dots,
Pungent,"Strong, slightly alarming smell or taste like black pepper (we do not use this word in the alternative sense of prickly).",Smells,
Pustule,Raised bump or wart-like spot.,Hairs,
Putrid,Disgusting smell = foetid.,Smells,
Pyrene,The ?stone? of a drupe or similar fruit ? sometimes synonymous with but or nutlet.,Fruit_details,
Pyriform,Pear-shaped.,Shapes__3d,
Raceme,"Unbranched, elongated inflorescence with no terminal flower and with the lowest flowers the most developed; individual flowers with",Inflorescence_type,Racemes
Rachis,-,Parts_of_compound_lvs,
Rachis   Rhachis,-,Parts_of_compound_lvs,
Rachis_gland,-,Gland_(petiole_or_rachis),Rachis_glands
Raphide,Cystolith-like crystal structure in the Rubiaceae.,Surface_texture,
Ray floret,-,Floret,Ray flowers
Ray floret  Ray flowers,-,Floret,
Receptacle,-,Flower_part,
Recessed,"(Nerves etc.) sunk below surface, more prominent than surrounding tissues but more sunken in channel than with impressed, veins and",Vein_prominence,
Rectangular,"Box-like, longer than wide or vice versa.",Shapes__3d,
Recurved,"Bent backwards, e.g. margin of leaf rolled over slightly. Revolute margins are more strongly rolled over, but there is no standard",Margin_of_leaf_blade_(3d),
Recurved margin,-,Margin_of_leaf_blade_(3d),
Red exudate (in slash),-,Slash_exudate,
Reflexed,Abruptly curved or bent downward or backward.,Angles,
Reniform,"Kidney-shaped, with shallow sinus and widely rounded margins.",Shapes__3d,
Repand,"Sinus with indentions less than 1/16 distance to midrib or midvein. Apparently a more precise term than undulate, but not used here",Serrated,
Resin,"Resinous exudate, usually of scented hydrocarbons; see resin duct.",Slash_exudate,
Resin duct,-,Leaf_blade_glands_etc,
Resinous exudate,-,Slash_exudate,
Reticulate,Arranged like strings in a net.,Venation,
Reticulodromous,"With a single primary vein, the secondary veins not terminating at the margin and losing their identities near the margin by repeated branching, yielding a dense reticulum.",Leaf_venation_(hickey),
Retuse,Emarginate ending on a rounded or obtuse apex: a stricter definition defines retuse with the sinus depth up to 1/16 distance from a,Apex_of_leaf_blade,
Revolute,"Rolled downwards or backwards; of a leaf, with the margins rolled towards the abaxial (lower) surface, see recurved.",Margin_of_leaf_blade_(3d),
Rhizome,"Underground or ground-level, usually horizontally growing stem, often more or less swollen or thickened.",Bole,
Rhombic,-,Leaf_blade_shape,
Ripple Mark,Very fine (,Bark,
Riverine,-,Habitat,
Root,-,Vegetative,Roots
Root climbers (Large stemmed tall),-,Root_climbers_/creepers,
Root climbers (Large),-,Root_climbers_/creepers,
Root climbers and creepers,-,Climber,
Root climbers or creepers (low small types),-,Root_climbers_/creepers,
Root nodule,-,Root,Root nodules
Rosette,A cluster of tightly packed leaves circularly spreading in one plane.,Leaf_arrangement,
Rounded,(Leaf apex with) margins and apex forming a smooth arc.,Shapes__3d,
Rugose,"With a deeply wrinkled surface; intermediate between rough and smooth ?fissures with no sharp edges, waves or wrinkles or there may",Surface_texture,
Rugulose,With minutely wrinkled surface.,Surface_texture,
Ruminate endosperm,"Where the surface is wrapped into the object, brain-like, esp. of seed: very contorted, or convoluted (as if chewed or wrapped up) in X section",Endosperm,
Sagittate,"Of the base of a flat organ, shaped like an arrow-head; of a leaf blade, narrow with two basal lobes directed downwards.",Leaf_base,
Salty,-,Taste,
Samara,-,Fruit_type,
Sapling,-,Juvenile,Saplings
Saprophyte,A plant (usually lacking chlorophyll) which nourishes wholly or mainly from soluble organic compounds in decaying organisms.,Habit,
Savanna,-,Vegetation,
Savanna-woodland,-,Vegetation,
Scabrid,-,Surface_texture,
Scabrid Scabrous,-,Surface_texture,
Scalariform,-,Venation,
Scale,"1. On leaf, a scale is a tiny (",Hairs,Scales
SCALES,-,Hairs,
Scaly,-,Hairs,
Scarious,"Of thin, dry, membranous texture and not green; opposite of herbaceous.",Surface_texture,
Scent,"General term for smell that is not unpleasant, as opposed to foetid.",Smells,
Schizocarp,A dry fruit formed from more than one carpel but breaking apart into single-seeded units (mericarps) when ripe.,Dehiscent,
Scrambler,-,Habit,
Scrambling shrub,"Applied to a plant sprawling over other plants, fences etc. and being supported by these, usually by being anchored with hooks or t",Habit,
Scurfy,With fine flaky covering like rust or dandruff.,Hairs,
Secund,"One-sided, when parts or organs are all directed to the same side (applied especially to the grouping of flowers in an inflorescenc",Inflorescence_type,
Seed,(Part of fruit) derived from single fertilized ovule (ovule contains the  'egg').,Fruit_details,
Seedling,-,Juvenile,
Semicraspedodromous,"With a single primary vein, the secondary veins branching just within the margin, one branch from each terminating at the margin and the other forming a marginal loop and joining the superadjacent secondary vein.",Leaf_venation_(hickey),
Sepal,"One of the lobes of the outer part of perianth, especially if leaf like; see calyx.",Calyx,
Septicidal,(Capsule) opening along the edges of the carpels.,Dehiscent,
Sericeous,"Silky, with a covering of long, appressed, soft, straight and glossy hairs.",Hairs,
Serrate   serrated,-,Leaf_blade_margin,
Serrated,Saw toothed; usually with teeth arching forwards (but cut 1/16-1/8 distance to midrib or midvein) but in this guide a more general,Leaf_blade_margin,
Serrated etc (not entire),-,Leaf_blade_margin,
Serrulate,"Minutely serrate, but cut to 1/16 distance to midrib or midvein.",Serrated,
Sessile,Without a stalk.,Attachment,
Setose,Beset with bristles or fairly sparse stiff hairs.,Hairs,
Shade-Bearer,Plants that can tolerate the full canopy shade of taller trees: the lower layers of undisturbed forest are rich in them.,Guilds,Shade-Bearers
Shade-Bearers,-,Guilds,
Shape  3d,-,General_shape,
Shape (3d),-,General_shape,
Shapes  3d,-,Shape__3d,
Sheath,"A tubular tissue, enveloping another organ; e.g. often prickly layer on rattan stems from base of leaf  enclosing stem below juncti",Node,
Shoot,A young stem or branch.,Stem,
Shoot Details,-,Shoot,
Shrub,"Small woody plant (rarely or not exceeding 5 cm d.b.h., or without bole).",Habit,
Shrublet,-,Shrub,
Sigmoid,Bent like the letter S.,Shapes__3d,
Siliqua,"A dry, dehiscent fruit characteristic of the family Brassicaceae, formed from a superior ovary of two carpels (with two parietal placentas) joined margin to margin, and divided into two loculi by a membranous wall (false septum) between the placentas. In",Dehiscent,
Simple leaf,-,Leaf_types,
Sinewy,"(Bole) with many rounded, but irregular channels, like straining muscles.",Bole,
Sinuate  Sinuous,"Margins shallowly and smoothly indented, wavy in a horizontal plane, without distinctive teeth or lobes, indented 1/16-1/8 distance",Shapes__3d,
Sinuous,Deeply wavy (margin); highly curvaceous,Shapes__3d,
Sinus,The gap or dip between teeth or lobes.,Lobe,
Slash,"Section through cut bark, showing various layers above sapwood, sometimes with exudate",Bark,
Slash Exudate,-,Slash,
Slash Texture,-,Slash,
Smells,-,General_terms,
Spadix,A spike-like inflorescence with a thickened and often succulent axis.,Inflorescence_part,Spadices
Spathe,A large bract surrounding an inflorescence.,Inflorescence_part,Spathes
Spathulate,"(Drip tip) with round, broadened apex like a spoon.",Shapes__3d,
Species level terms,-,Shapes__3d,
Spiculate,With crystals in or on the surface.,Hairs,
Spike,Unbranched inflorescence; individual flowers without stalks (see raceme).,Inflorescence_type,
Spine,"Sharp, (branched) needle-like projection from below bark; or ?Spiny margin? similarly needle like thickenings of leaf margin.",Spines__prickles_etc,
Spines  prickles etc,-,Plant_parts,
Spines thorns prickles on plant,-,Plant_parts,
Spiny,-,Spines__prickles_etc,
Spiny margin,-,Serrated,
Spongy,Cellular; sponge-like (in appearance or to touch).,Bark_texture,
Squamose,Having coarse scales.,Hairs,
Stamen,"The male reproductive organ of a flowering plant, producing pollen.",Androecium,
Staminode,"A sterile stamen, often rudimentary; sometimes modified to perform some other function, e.g. that of a petal or nectary.",Androecium,
Stellate hair,"Star-shaped hair, or cluster of hairs radiating from a point.",Hairs,Stellate hairs
Stem,-,Foliage,Stems
Stem Accessories,-,Stem,
Sterile,"Barren, not functional; used of sexual parts, such as anthers; (sterile specimen= one without flowers).",Gender,
Stigma,"Top part of style, to which pollen becomes attached, of various shapes.",Gynoecium,
Stilt Roots,-,Bole,
Stinging,With erect trichomes that  irritate or sting when touched.,Hairs,
Stipe,"General term for a stalk supporting a structure, esp. the stalk attaching the ovary or fruit to the receptacle in some flowers (i.e",Attachment,
Stipel,Thread-like structure at base of leaflet on some compound Ieaves.,Leaf_parts,
Stipulate,-,Node,
Stipule,"Leaf-like or other small structure close to petiole at leaf node, often in opposite pairs, or as a complete sheath around stem.",Node,
Stolon,"A lateral, aerial shoot with elongated internodes, rooting at the nodes and giving rise to new individuals when the internodes peri",Bole,
Stoloniferous,Bearing stolons.,Bole,
Stoma,-,Surface_details,Stomata
Stoma (plural=Stomata),-,Surface_details,
Stomata,-,Surface_details,
Straggling,"Untidy, irregular, habit, partly trailing but striving to grow upwards.",Habit,
Striate,-,Venation,
Strigose,"Covered with stiff hairs, which are slanting rather than erect, usually with a bulbous base.",Hairs,
Style,Narrow neck section of female part of flower (gynoecium) connecting ovary to stigma.,Gynoecium,
Sub,"Not quite; almost e.g. sub-cordate= slightly cordate, and see following..",General_terms,
Sub Marginal,(Nerve) running close to margin.,Venation,
Sub-opposite,"Almost, but not always or not exactly opposite",Leaf_arrangement,
Suberous,Corky.,Bark,
Subulate,Awl-shaped; narrow and tapering evenly from a narrow base to a fine point.,Shape__3d,
Succulent plant,-,Habit,
Sucker,New shoot arising from ground at base of tree.,Stem,
Suffrutescent,-,Habit,
Suffrutex,"Woody basally, herbaceous apically.",Habit,
Sulcate,With longitudinal grooves.,Shape__3d,
Superficial gland dots,-,Gland_dots,
Superior Ovary,"Ovary developing above the point of insertion of perianth; becoming fruit with calyx at base; the sepals, petals and stamens are in",Ovary,Superior Ovaries
Surcurrent,Extending along stem upward from leaf base.,Angles,
Surface Details,-,Plant_parts,
Surface Texture,-,Surface_details,
Swamp,-,Habitat,
Swamp forest,-,Vegetation,
Sweet,-,Taste,
Swollen spots at base of hairs,-,Hairs,
Syconium (fig),-,Fruit_type,
Symmetric,"Regular, with one half equal in size and shape (but usually mirrored) to the other.",Leaf_blade_shape,
Symmetry,-,Flower,
Sympodial,"Without a single, persistent growing point (the longitudinal growth is taken over by a lateral growing point below the apex).",Branching_pattern,
Syntype,One of two or more specimens cited by the author at the time of publication of a name to which no holotype was designated.,Type_specimen,
Taproot,"A main descending root bearing lateral roots, as in many dicotyledons.",Bole,
Taste,-,General_terms,
Taxon,"A group or category, at any level, in a system for classifying plants or animals.",Plant_groups,
Taxonomy,-,Species_level_terms,
TEETH,-,Serrated,
Tendril,"A slender, spirally coiled, branched or unbranched climbing-organ originating from a stem or a leaf.",Climbing_device,
Tepal,One of the segments (when not fused) of the perianth; used when the perianth is not differentiated in calyx (with sepals) and corol,Perianth,Tepals
Terete,"A cylindrical structure, circular in cross-section,  rather than a fluted or grooved or many-sided one.",Stem,
Terminal,At the apex or distal end. When a flower or a bud is terminal on an axis they end its growth.,Position,
Texture,-,General_terms,
Thicket,-,Vegetation,
Thorn,"Any sharp-pointed structure, including spines and prickles.",Spines__prickles_etc,
Tiers,"Layers; storeys, like floors in a many floored house.",Tree_crown,
Tomentose,"With very dense short, matted hairs and soft texture, like felt.",Hairs,
Torulose,Cylindrical with contractions at intervals.,Shape__3d,
Torulose   Torose,-,Shape__3d,
Translucent,"Letting light through, but murky and not transparent (especially of exudates etc.).",Gland_dots,
Transparency,-,General_terms,
Transparent,Possible to see through.,Transparency,
Transverse,"(Nerves, lines on bark etc.) running perpendicular to axis (of leaf, bole etc.).",Venation,
Tree,-,Tree_(any_size),
Tree (any size),"Small tree, usually",Habit,
Tree (larger than treelet),-,Tree_(any_size),
Tree Bole,-,Tree_(any_size),
Tree Crown,-,Tree_(any_size),
Tree stem,-,Tree_(any_size),
Treelet,"Small tree, usually",Tree_(any_size),
Trichome,"A minute outgrowth from the epidermis, variable in size and complexity, but including hairs, scales, and glandular hairs, rather th",Hairs,
Trifoliolate,Compound leaves with three leaflets attached to end of petiole (=ternate).,Compound_leaf_types,
Trinerved,"With 2 (or more, but see palmately veined which is specifically for 4 or more basal nerves)) strong basal nerves besides the midrib",Venation,
Tripartite,-,General_part_terms,
Tripinnate,-,Bi-tripinnate,
Tripinnnate,-,Bi-tripinnate,
Truncate,Ending very abruptly as if cut straight across (of lamina tips as well as bases).,Apex_of_leaf_blade,
Trunk,-,Tree_(any_size),
Tuber,"A storage organ formed by swelling of underground stems or stem tips, or the distal end of a root, e.g. a  yam or potato.",Bulb-like,
Tubercle,"A small blunt outgrowth. Tuberculate =with small, smooth, blunt projections.",Surface_texture,
Tuberculate,With a warty surface.,Surface_texture,
Tuft,"Brush like cluster of hairs, shoots or leaves.",Hairs,
Turbinate,Top-shaped; obconic.,Shape__3d,
Twig,Small branch (here used for the branchlets of woody plants other than those which twine).,Stem,
Twiner,A plant with stems which are twisting round some other body.,Habit,
Type specimen,-,Taxonomy,Type specimens
Umbel,"An umbrella-shaped, racemose inflorescence, with the pedicels arising more or less from a common point.",Inflorescence_type,
Unarmed,"Entirely without thorns, spines, prickles or stinging hairs.",Spines__prickles_etc,
UNDERGROUND BULBS ETC,-,Vegetative,
Undulate,"Margin of leaf wavy up-and-down when leaf viewed in side view, i.e. not flat. Note that undulate leaves and especially fruits are o",Margin_of_leaf_blade_(3d),
UPPER MIDRIB,-,Midrib,
Usage,-,Species_level_terms,
Valvate,"Of floral parts in the bud, parts touching but not overlapping; also applied to organs dehiscing with valves.",Aestivation,
Valve,One of the flaps/parts/sides opening on a dehiscent fruit.,Fruit_details,
Variant,"Any different type of plant within the species, taxonomically recognized or not.",Taxonomy,
Variegated,Having a patchy variation in colour or shade.,Leaf_blade_colour,
Vegetation,-,Habitat,
Vegetative,The non-floral parts of a plant; non-flowering.,Plant_parts,
Vein,-,Lamina__leaf_blade,
Vein prominence/visibility,-,Venation,
Vein(s),-,Lamina__leaf_blade,
Velutinous,"Velvety: densely covered with soft, short (or long) erect hairs.",Hairs,
Velvety,-,Hairs,
Venation,"The system or pattern of lateral nerves and veins, or ('finer venation') just veins.",Lamina__leaf_blade,
Verrucose,"Covered with rough, wart-like projections.",Surface_texture,
Verticillate,"Whorled, several similar organs at the same point of an axis.",Leaf_arrangement,
Villous,"Covered with long, weak and often crooked hairs.",Hairs,
Viscid,"Coated with a thick, sticky secretion.",Hairs,
Wavy,"With smooth, shallow curves in the sense of the leaf edge, viewed from on top in plan view. (Sometimes called repand by others). If",Serrated,
White latex (in slash),-,Slash_exudate,
Whorl,-,Leaf_arrangement,
"Whorl , whorled",-,Leaf_arrangement,
Whorled,"An arrangement with more than two organs of the same kind at the same point of an axis; leaves, branches etc more than two per node.",Leaf_arrangement,
Wing,"Thin layer, shelf or sheet along side (of petiole, fruit, etc.); in zygomorphic flowers, one of the lateral (side) petals .",Stem,
Winged,-,Stem,
Wood,-,Vegetative,
Woody,Hard and lignified.,Texture,
Woody stem,-,Vegetative,Woody Stems
Woody Stems,-,Vegetative,
Woody stems (regardless of habit),-,Vegetative,
Xylem,"Tissue which conducts water and forms the wood, made of vessels (like pores in cross-section), fibres and tracheids.",Woody_stem,
Yellow exudate in slash,-,Slash_exudate,
Yellow-brown latex (in slash),-,Slash_exudate,
Young Stem,-,Stem,
Zigzag,"With short, sharp turns from side to side.",Branchlet,
Zygomorphic,"Symmetrical, but with only one central line of symmetry (i.e. like a person, not like a star fish)",Shape__3d,
